"jaar","code","provincie"
2023,"0534","Zuid-Holland"
2023,"0798","Noord-Brabant"
2023,"0402","Noord-Holland"
2023,"1963","Zuid-Holland"
2023,"1735","Overijssel"
2023,"1966","Groningen"
2023,"1911","Noord-Holland"
2023,"0118","Drenthe"
2023,"0405","Noord-Holland"
2023,"1507","Limburg"
2023,"0321","Utrecht"
2023,"0406","Noord-Holland"
2023,"0677","Zeeland"
2023,"0353","Utrecht"
2023,"1884","Zuid-Holland"
2023,"0166","Overijssel"
2023,"0678","Zeeland"
2023,"0537","Zuid-Holland"
2023,"0928","Limburg"
2023,"1598","Noord-Holland"
2023,"0542","Zuid-Holland"
2023,"1931","Zuid-Holland"
2023,"1659","Noord-Brabant"
2023,"1982","Noord-Brabant"
2023,"0882","Limburg"
2023,"0415","Noord-Holland"
2023,"1621","Zuid-Holland"
2023,"0417","Noord-Holland"
2023,"0080","Fryslân"
2023,"0546","Zuid-Holland"
2023,"0547","Zuid-Holland"
2023,"1916","Zuid-Holland"
2023,"0995","Flevoland"
2023,"1640","Limburg"
2023,"0327","Utrecht"
2023,"1705","Gelderland"
2023,"0553","Zuid-Holland"
2023,"0262","Gelderland"
2023,"0809","Noord-Brabant"
2023,"0331","Utrecht"
2023,"0168","Overijssel"
2023,"0263","Gelderland"
2023,"1641","Limburg"
2023,"1991","Noord-Brabant"
2023,"0556","Zuid-Holland"
2023,"0935","Limburg"
2023,"0420","Noord-Holland"
2023,"0938","Limburg"
2023,"1948","Noord-Brabant"
2023,"0119","Drenthe"
2023,"0687","Zeeland"
2023,"1842","Zuid-Holland"
2023,"1731","Drenthe"
2023,"1952","Groningen"
2023,"1709","Noord-Brabant"
2023,"1978","Zuid-Holland"
2023,"1955","Gelderland"
2023,"0335","Utrecht"
2023,"0944","Limburg"
2023,"1740","Gelderland"
2023,"0946","Limburg"
2023,"0356","Utrecht"
2023,"0569","Zuid-Holland"
2023,"0267","Gelderland"
2023,"0268","Gelderland"
2023,"1930","Zuid-Holland"
2023,"1970","Fryslân"
2023,"1695","Zeeland"
2023,"1699","Drenthe"
2023,"0171","Flevoland"
2023,"0575","Zuid-Holland"
2023,"0820","Noord-Brabant"
2023,"0302","Gelderland"
2023,"0579","Zuid-Holland"
2023,"0823","Noord-Brabant"
2023,"0824","Noord-Brabant"
2023,"1895","Groningen"
2023,"0269","Gelderland"
2023,"0173","Overijssel"
2023,"1773","Overijssel"
2023,"0175","Overijssel"
2023,"1586","Gelderland"
2023,"0826","Noord-Brabant"
2023,"0085","Fryslân"
2023,"0431","Noord-Holland"
2023,"0432","Noord-Holland"
2023,"0086","Fryslân"
2023,"0828","Noord-Brabant"
2023,"1509","Gelderland"
2023,"0437","Noord-Holland"
2023,"0589","Utrecht"
2023,"1734","Gelderland"
2023,"0590","Zuid-Holland"
